Longitutde,Latitude,Severity
153.029545,-27.464934,2
153.041625,-27.44986599,2
152.974399,-27.496984,2
153.040332,-27.558939,2
153.0634373,-27.54600412,2
152.9232431,-27.59383251,2
153.0096327,-27.46092158,2
153.012509,-27.317753,2
153.144938,-27.463408,2
153.062047,-27.582182,2
153.032791,-27.509926,2
153.042569,-27.448887,2
153.032445,-27.455143,2
153.032431,-27.485941,2
153.016335,-27.356092,2
153.070638,-27.431788,2
153.179671,-27.513965,2
152.943383,-27.578303,2
152.988903,-27.459666,2
152.980774,-27.496352,2
152.994948,-27.335156,2
153.047386,-27.31378,2
153.01632,-27.483728,2
152.805383,-27.556376,2
153.008598,-27.46904,2
153.026913,-27.544331,2
152.969379,-27.568852,2
153.012828,-27.39795,2
153.030624,-27.484034,2
153.059936,-27.407774,2
153.0293778,-27.50022319,2
153.026378,-27.461691,2
153.050212,-27.503443,2
152.9934856,-27.58479028,2
152.965401,-27.465562,2
152.990954,-27.482999,2
153.007552,-27.410146,2
153.099959,-27.584476,2
153.045464,-27.479537,2
153.056794,-27.640152,2
153.060375,-27.620457,2
152.946947,-27.5278405,2
153.036033,-27.45205,2
153.06208,-27.285326,2
153.080001,-27.560242,2
153.039655,-27.48785,2
153.170383,-27.446128,2
153.13652,-27.434331,2
153.064878,-27.590091,2
152.980069,-27.463387,2
153.035493,-27.458077,2
153.054757,-27.47478,2
153.16761,-27.484915,2
153.039201,-27.354044,2
153.0517719,-27.42195162,2
152.9196936,-27.59992012,2
153.092602,-27.495425,2
153.007759,-27.53996,2
153.074547,-27.492664,2
153.029545,-27.464934,2
153.054457,-27.487269,2
153.040926,-27.434436,2
153.018016,-27.404902,2
153.025477,-27.495829,2
153.167836,-27.474482,2
153.113583,-27.472857,2
153.082839,-27.433127,2
153.040537,-27.452722,2
153.071621,-27.529466,2
153.0318891,-27.40469538,2
153.033467,-27.41148,2
153.066398,-27.55906464,2
153.0378202,-27.49558079,2
153.023014,-27.435438,2
152.932882,-27.60071764,2
152.96317,-27.580645,2
153.009537,-27.400882,2
153.0474155,-27.35140018,2
153.0236342,-27.37251833,2
153.039384,-27.359608,2
153.029422,-27.379051,2
153.0311369,-27.43718545,2
152.9323377,-27.60425889,2
153.079241,-27.608632,2
153.032962,-27.509707,2
153.077168,-27.49353514,2
152.996028,-27.450842,2
153.028211,-27.463559,2
152.871878,-27.553425,2
153.0511773,-27.47597556,2
153.119833,-27.537078,2
153.02939,-27.480805,2
153.035457,-27.374156,2
153.026437,-27.365258,2
153.020328,-27.37124087,2
153.096439,-27.37328,2
153.019052,-27.578975,2
153.034528,-27.506767,2
153.040564,-27.312773,2
153.0398713,-27.49264257,2
153.028343,-27.377338,2
153.03283,-27.428738,2
153.0706138,-27.4392202,2
153.031668,-27.402202,2
152.980256,-27.568655,2
153.031458,-27.398308,2
152.9911076,-27.34894239,2
153.01915,-27.567613,2
153.014001,-27.515434,2
153.02644,-27.463357,2
152.953495,-27.508312,2
153.031444,-27.401852,2
153.074548,-27.561967,2
153.043191,-27.604425,2
152.974911,-27.449434,2
152.9875122,-27.46715364,2
153.006398,-27.461881,2
153.0154019,-27.46320634,2
153.028211,-27.463559,2
153.020927,-27.463014,2
153.078805,-27.518952,2
153.095984,-27.471173,2
153.130539,-27.504874,2
153.047478,-27.405052,2
152.964598,-27.5746716,2
153.055115,-27.606172,2
153.091935,-27.4955529,2
153.042661,-27.464466,2
153.039397,-27.312782,2
153.045969,-27.330729,2
153.016932,-27.410534,2
153.167287,-27.437285,2
153.119084,-27.482317,2
153.023408,-27.37594,2
153.059425,-27.343762,2
153.070324,-27.43760937,2
153.040868,-27.650738,2
153.0196382,-27.5883664,2
152.9903874,-27.44233616,2
152.922314,-27.43511,2
153.040202,-27.507073,2
152.954619,-27.515625,2
152.982284,-27.52802835,2
153.044158,-27.338191,2
153.045228,-27.428015,2
152.957897,-27.565243,2
153.038559,-27.44395,2
152.968655,-27.633567,2
153.0289665,-27.3110983,2
153.0818437,-27.55972134,2
153.032412,-27.485999,2
153.039504,-27.49783,2
153.0594164,-27.34215354,2
153.04106,-27.430572,2
153.063298,-27.381129,2
153.027252,-27.6440291,2
152.962684,-27.491862,2
152.975152,-27.510491,2
153.01132,-27.409682,2
153.027107,-27.411781,2
153.027272,-27.43209,2
153.0302321,-27.50038095,2
153.058593,-27.448153,2
153.036081,-27.488567,2
153.040481,-27.483565,2
152.990882,-27.407475,2
153.02673,-27.46985486,2
153.020598,-27.556549,2
153.035541,-27.499528,2
153.17376,-27.448284,2
153.061038,-27.616683,2
152.990769,-27.443173,2
153.035443,-27.457614,2
152.9931816,-27.35670099,2
153.081241,-27.379666,2
153.064299,-27.439294,2
153.058646,-27.599159,2
153.036758,-27.459193,2
153.026958,-27.4512392,2
152.965944,-27.501024,2
153.099681,-27.579705,2
153.071811,-27.34731,2
153.0613,-27.36054,2
153.048016,-27.401819,2
153.100711,-27.443659,2
152.927206,-27.588961,2
153.027298,-27.588501,2
153.028034,-27.461369,2
152.9929533,-27.59586001,2
152.947554,-27.514762,2
