Crash_Ref_Number,Crash_Severity,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Nature,Crash_Type,Crash_Longitude_GDA94,Crash_Latitude_GDA94,Crash_Street,Crash_Street_Intersecting,Loc_Suburb,Loc_Local_Government_Area,Loc_Post_Code,Loc_Police_Division,Loc_Police_District,Loc_Police_Region,Loc_Queensland_Transport_Region,Loc_Main_Roads_Region,Loc_ABS_Statistical_Area_2,Loc_ABS_Statistical_Area_3,Loc_ABS_Statistical_Area_4,Loc_ABS_Remoteness,Loc_State_Electorate,Loc_Federal_Electorate,Crash_Controlling_Authority,Crash_Roadway_Feature,Crash_Traffic_Control,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition
277998,Hospitalisation,2015,January,Thursday,0,Hit pedestrian,Hit pedestrian,153.0037948,-27.45336357,Enoggera Tce,,Red Hill,Brisbane City,4059,Brisbane City,North Brisbane,Brisbane,SEQ North,Metropolitan,Red Hill (qld),Brisbane Inner - West,Brisbane Inner City,Major cities,Mount Coot-tha,Brisbane,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Not lighted
278019,Hospitalisation,2015,January,Friday,19,Hit object,Single Vehicle,153.051459,-27.51973,South East Arterial Rd,,Holland Park West,Brisbane City,4121,Holland Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Holland Park West,Holland Park - Yeronga,Brisbane - South,Major cities,Yeerongpilly,Griffith,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Wet,Clear,Darkness - Lighted
278020,Medical treatment,2015,January,Friday,17,Angle,Multi-Vehicle,152.955745,-27.517935,Centenary Hwy,Fig Tree Pocket Rd,Fig Tree Pocket,Brisbane City,4069,Indooroopilly,North Brisbane,Brisbane,SEQ North,Metropolitan,Fig Tree Pocket,Kenmore - Brookfield - Moggill,Brisbane - West,Major cities,Indooroopilly,Ryan,State-controlled,Intersection - Interchange,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight
278021,Medical treatment,2015,January,Friday,9,Sideswipe,Multi-Vehicle,153.187014,-27.448242,Lower Esp,Upper Esplanade,Manly,Brisbane City,4179,Wynnum,South Brisbane,Brisbane,SEQ South,Metropolitan,Manly - Lota,Wynnum - Manly,Brisbane - East,Major cities,Lytton,Bonner,Locally-controlled,Intersection - T-Junction,Give way sign,60 km/h,Sealed - Dry,Clear,Daylight
278038,Medical treatment,2015,January,Saturday,18,Rear-end,Multi-Vehicle,152.982398,-27.53573,Oxley Rd,,Sherwood,Brisbane City,4075,Sherwood,South Brisbane,Brisbane,SEQ South,Metropolitan,Sherwood,Sherwood - Indooroopilly,Brisbane - West,Major cities,Indooroopilly,Moreton,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Dawn/Dusk
278039,Hospitalisation,2015,January,Saturday,0,Angle,Multi-Vehicle,153.02481,-27.482266,Sidon St,Stanley St,South Brisbane,Brisbane City,4101,West End,South Brisbane,Brisbane,SEQ South,Metropolitan,South Brisbane,Brisbane Inner,Brisbane Inner City,Major cities,South Brisbane,Griffith,Locally-controlled,Bikeway,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Darkness - Lighted
278040,Medical treatment,2015,January,Saturday,16,Angle,Multi-Vehicle,153.03514,-27.486445,Gibbon St,Stanley St,Woolloongabba,Brisbane City,4102,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Woolloongabba,Holland Park - Yeronga,Brisbane - South,Major cities,South Brisbane,Griffith,Locally-controlled,Intersection - T-Junction,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Daylight
278041,Medical treatment,2015,January,Saturday,11,Rear-end,Multi-Vehicle,153.028825,-27.37798,Gympie Arterial Rd,,Aspley,Brisbane City,4034,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Aspley,Chermside,Brisbane - North,Major cities,Aspley,Lilley,State-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Wet,Clear,Daylight
278075,Medical treatment,2015,January,Monday,20,Angle,Multi-Vehicle,153.007764,-27.409218,East - West Arterial Rd,Shand St,Stafford,Brisbane City,4053,Stafford,North Brisbane,Brisbane,SEQ North,Metropolitan,Stafford,Chermside,Brisbane - North,Major cities,Stafford,Brisbane,State-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Wet,Raining,Darkness - Lighted
278076,Medical treatment,2015,January,Monday,10,Sideswipe,Multi-Vehicle,153.064688,-27.571934,Mccullough St,,Sunnybank,Brisbane City,4109,Upper Mount Gravatt,South Brisbane,Brisbane,SEQ South,Metropolitan,Macgregor (qld),Mt Gravatt,Brisbane - South,Major cities,Sunnybank,Moreton,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Wet,Raining,Daylight
278077,Hospitalisation,2015,January,Monday,6,Rear-end,Multi-Vehicle,153.091215,-27.555321,Redland Sub-Arterial Rd,,Wishart,Brisbane City,4122,Upper Mount Gravatt,South Brisbane,Brisbane,SEQ South,Metropolitan,Wishart,Mt Gravatt,Brisbane - South,Major cities,Mansfield,Bonner,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight
278078,Medical treatment,2015,January,Monday,12,Hit object,Single Vehicle,153.077916,-27.562115,South East Busway,,Macgregor,Brisbane City,4109,Upper Mount Gravatt,South Brisbane,Brisbane,SEQ South,Metropolitan,Upper Mount Gravatt,Mt Gravatt,Brisbane - South,Major cities,Mansfield,Bonner,State-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Wet,Raining,Daylight
278079,Medical treatment,2015,January,Monday,10,Hit pedestrian,Hit pedestrian,153.035938,-27.483018,Main St,Princess St,Kangaroo Point,Brisbane City,4169,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Kangaroo Point,Brisbane Inner,Brisbane Inner City,Major cities,South Brisbane,Griffith,Locally-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Wet,Raining,Daylight
278080,Medical treatment,2015,January,Monday,8,Angle,Multi-Vehicle,153.035383,-27.374186,Ellison Rd,,Geebung,Brisbane City,4034,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Geebung,Chermside,Brisbane - North,Major cities,Nudgee,Lilley,Locally-controlled,Intersection - Roundabout,Give way sign,60 km/h,Sealed - Wet,Raining,Daylight
278084,Medical treatment,2015,January,Monday,10,Hit object,Single Vehicle,152.990333,-27.405809,Everton Park - Albany Creek Rd,Mcilwraith St,Everton Park,Brisbane City,4053,Ferny Grove,North Brisbane,Brisbane,SEQ North,Metropolitan,Everton Park,Bald Hills - Everton Park,Brisbane - North,Major cities,Everton,Brisbane,State-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Wet,Raining,Daylight
278109,Hospitalisation,2015,January,Monday,2,Hit object,Single Vehicle,152.9523149,-27.56620455,Railway Pde,,Darra,Brisbane City,4076,Mount Ommaney,South Brisbane,Brisbane,SEQ South,Metropolitan,Darra - Sumner,Forest Lake - Oxley,Ipswich,Major cities,Inala,Oxley,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Darkness - Lighted
278110,Medical treatment,2015,January,Tuesday,6,Hit pedestrian,Hit pedestrian,153.02918,-27.518266,Ipswich Rd,Villa St,Annerley,Brisbane City,4103,Annerley,South Brisbane,Brisbane,SEQ South,Metropolitan,Annerley,Holland Park - Yeronga,Brisbane - South,Major cities,Yeerongpilly,Moreton,Locally-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Wet,Clear,Daylight
278111,Hospitalisation,2015,January,Tuesday,7,Rear-end,Multi-Vehicle,153.0162567,-27.46727445,North Quay,,Brisbane City,Brisbane City,4000,Brisbane City,North Brisbane,Brisbane,SEQ North,Metropolitan,Brisbane City,Brisbane Inner,Brisbane Inner City,Major cities,Brisbane Central,Brisbane,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Daylight
278112,Medical treatment,2015,January,Tuesday,18,Angle,Multi-Vehicle,152.96651,-27.59082,Azalea St,Eugenia St,Inala,Brisbane City,4077,Inala,South Brisbane,Brisbane,SEQ South,Metropolitan,Inala - Richlands,Forest Lake - Oxley,Ipswich,Major cities,Inala,Oxley,Locally-controlled,Intersection - Cross,Give way sign,0 - 50 km/h,Sealed - Dry,Clear,Dawn/Dusk
278113,Medical treatment,2015,January,Tuesday,6,Angle,Multi-Vehicle,153.051096,-27.476028,Wynnum Rd,,Norman Park,Brisbane City,4170,Morningside,South Brisbane,Brisbane,SEQ South,Metropolitan,Norman Park,Brisbane Inner - East,Brisbane Inner City,Major cities,Bulimba,Griffith,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Wet,Raining,Daylight
278114,Hospitalisation,2015,January,Tuesday,17,Rear-end,Multi-Vehicle,153.041344,-27.342206,Handford Rd,,Taigum,Brisbane City,4018,Carseldine,North Brisbane,Brisbane,SEQ North,Metropolitan,Taigum - Fitzgibbon,Sandgate,Brisbane - North,Major cities,Sandgate,Lilley,Locally-controlled,No Roadway Feature,No traffic control,70 km/h,Sealed - Dry,Raining,Daylight
278115,Hospitalisation,2015,January,Tuesday,12,Hit object,Single Vehicle,153.074148,-27.339349,Gateway Arterial Rd,,Boondall,Brisbane City,4034,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Boondall,Nundah,Brisbane - North,Major cities,Nudgee,Lilley,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight
278143,Medical treatment,2015,January,Tuesday,16,Angle,Multi-Vehicle,152.980289,-27.568796,Blunder Rd,Reedy Rd,Oxley,Brisbane City,4075,Mount Ommaney,South Brisbane,Brisbane,SEQ South,Metropolitan,Oxley (qld),Forest Lake - Oxley,Ipswich,Major cities,Inala,Oxley,Locally-controlled,Intersection - Cross,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight
278144,Hospitalisation,2015,January,Wednesday,17,Angle,Multi-Vehicle,153.07252,-27.561893,Griffith Arterial Rd,Grout St,Macgregor,Brisbane City,4109,Upper Mount Gravatt,South Brisbane,Brisbane,SEQ South,Metropolitan,Macgregor (qld),Mt Gravatt,Brisbane - South,Major cities,Yeerongpilly,Moreton,State-controlled,Intersection - T-Junction,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight
278145,Hospitalisation,2015,January,Wednesday,11,Hit object,Single Vehicle,153.059654,-27.540098,South East Arterial Rd,,Mount Gravatt,Brisbane City,4122,Upper Mount Gravatt,South Brisbane,Brisbane,SEQ South,Metropolitan,Mount Gravatt,Mt Gravatt,Brisbane - South,Major cities,Mansfield,Bonner,State-controlled,Intersection - Interchange,No traffic control,100 - 110 km/h,Sealed - Wet,Raining,Daylight
278146,Medical treatment,2015,January,Wednesday,21,Hit object,Single Vehicle,153.126457,-27.484887,Belmont Rd,Burstall Ave,Belmont,Brisbane City,4153,Wynnum,South Brisbane,Brisbane,SEQ South,Metropolitan,Belmont - Gumdale,Capalaba,Brisbane - East,Major cities,Chatsworth,Bonner,Locally-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted
278151,Medical treatment,2015,January,Wednesday,13,Rear-end,Multi-Vehicle,153.014556,-27.424161,Grange Rd,Stevenson St,Grange,Brisbane City,4051,Stafford,North Brisbane,Brisbane,SEQ North,Metropolitan,Grange,Brisbane Inner - North,Brisbane Inner City,Major cities,Stafford,Brisbane,Locally-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight
278152,Medical treatment,2015,January,Wednesday,12,Angle,Multi-Vehicle,153.085253,-27.43500326,Fison Ave W,Gateway Arterial Rd,Eagle Farm,Brisbane City,4009,Hendra,North Brisbane,Brisbane,SEQ North,Metropolitan,Eagle Farm - Pinkenba,Nundah,Brisbane - North,Major cities,Clayfield,Lilley,State-controlled,Intersection - Interchange,Stop sign,60 km/h,Sealed - Wet,Raining,Daylight
278153,Minor injury,2015,January,Wednesday,7,Sideswipe,Multi-Vehicle,153.032461,-27.42949434,Airport Link,,Windsor,Brisbane City,4030,Stafford,North Brisbane,Brisbane,SEQ North,Metropolitan,Windsor,Brisbane Inner - North,Brisbane Inner City,Major cities,Brisbane Central,Brisbane,Locally-controlled,Merge Lane,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Lighted
278154,Medical treatment,2015,January,Wednesday,13,Head-on,Multi-Vehicle,152.943235,-27.427457,Settlement Rd,,Keperra,Brisbane City,4054,The Gap,North Brisbane,Brisbane,SEQ North,Metropolitan,Keperra,The Gap - Enoggera,Brisbane - West,Major cities,Ferny Grove,Brisbane,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Wet,Raining,Daylight
278169,Medical treatment,2015,January,Thursday,15,Rear-end,Multi-Vehicle,153.098505,-27.489652,Stanley Rd,,Carina,Brisbane City,4152,Carina,South Brisbane,Brisbane,SEQ South,Metropolitan,Carina,Carindale,Brisbane - South,Major cities,Chatsworth,Griffith,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Wet,Raining,Daylight
278170,Medical treatment,2015,January,Thursday,13,Rear-end,Multi-Vehicle,153.043072,-27.450101,Reddacliff St,Skyring Tce,Newstead,Brisbane City,4006,Fortitude Valley,North Brisbane,Brisbane,SEQ North,Metropolitan,Newstead - Bowen Hills,Brisbane Inner - North,Brisbane Inner City,Major cities,Brisbane Central,Brisbane,Locally-controlled,Intersection - T-Junction,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight
278171,Medical treatment,2015,January,Thursday,16,Hit object,Single Vehicle,152.962895,-27.502741,Western Arterial Rd,,Indooroopilly,Brisbane City,4068,Indooroopilly,North Brisbane,Brisbane,SEQ North,Metropolitan,Indooroopilly,Sherwood - Indooroopilly,Brisbane - West,Major cities,Moggill,Ryan,State-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Wet,Raining,Daylight
278172,Medical treatment,2015,January,Thursday,13,Rear-end,Multi-Vehicle,153.015733,-27.337117,Lacey Rd,Raynbird Pl,Carseldine,Brisbane City,4036,Carseldine,North Brisbane,Brisbane,SEQ North,Metropolitan,Carseldine,Bald Hills - Everton Park,Brisbane - North,Major cities,Aspley,Petrie,Locally-controlled,Intersection - T-Junction,Give way sign,70 km/h,Sealed - Dry,Clear,Daylight
278173,Medical treatment,2015,January,Thursday,12,Rear-end,Multi-Vehicle,153.007831,-27.409418,Shand St,,Stafford,Brisbane City,4053,Stafford,North Brisbane,Brisbane,SEQ North,Metropolitan,Stafford,Chermside,Brisbane - North,Major cities,Stafford,Brisbane,State-controlled,Intersection - T-Junction,Give way sign,60 km/h,Sealed - Dry,Clear,Daylight
278174,Medical treatment,2015,January,Thursday,13,Rear-end,Multi-Vehicle,153.091422,-27.605187,Beenleigh Rd,Strathmore St,Kuraby,Brisbane City,4112,Upper Mount Gravatt,South Brisbane,Brisbane,SEQ South,Metropolitan,Kuraby,Sunnybank,Brisbane - South,Major cities,Stretton,Moreton,Locally-controlled,Intersection - T-Junction,Operating traffic lights,60 km/h,Sealed - Wet,Raining,Daylight
278175,Hospitalisation,2015,January,Thursday,7,Rear-end,Multi-Vehicle,153.065956,-27.561044,Griffith Arterial Rd,Mains Rd,Macgregor,Brisbane City,4109,Upper Mount Gravatt,South Brisbane,Brisbane,SEQ South,Metropolitan,Salisbury - Nathan,Nathan,Brisbane - South,Major cities,Sunnybank,Moreton,State-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight
278176,Medical treatment,2015,January,Thursday,13,Angle,Multi-Vehicle,153.14475,-27.442526,Malabar St,Sibley Rd,Wynnum West,Brisbane City,4178,Wynnum,South Brisbane,Brisbane,SEQ South,Metropolitan,Wynnum West - Hemmant,Wynnum - Manly,Brisbane - East,Major cities,Lytton,Bonner,Locally-controlled,Intersection - T-Junction,Give way sign,60 km/h,Sealed - Dry,Clear,Daylight
278177,Medical treatment,2015,January,Thursday,16,Hit pedestrian,Hit pedestrian,153.015603,-27.354781,Gympie Arterial Rd,,Carseldine,Brisbane City,4034,Carseldine,North Brisbane,Brisbane,SEQ North,Metropolitan,Carseldine,Bald Hills - Everton Park,Brisbane - North,Major cities,Aspley,Petrie,State-controlled,No Roadway Feature,No traffic control,70 km/h,Sealed - Dry,Clear,Daylight
278194,Hospitalisation,2015,January,Friday,17,Fall from vehicle,Single Vehicle,153.011322,-27.46251,Hale St,,Paddington,Brisbane City,4064,Brisbane City,North Brisbane,Brisbane,SEQ North,Metropolitan,Brisbane City,Brisbane Inner,Brisbane Inner City,Major cities,Mount Coot-tha,Brisbane,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Dawn/Dusk
278195,Minor injury,2015,January,Friday,8,Rear-end,Multi-Vehicle,153.00186,-27.469743,Milton Rd,,Milton,Brisbane City,4064,Brisbane City,North Brisbane,Brisbane,SEQ North,Metropolitan,Paddington - Milton,Brisbane Inner - West,Brisbane Inner City,Major cities,Mount Coot-tha,Brisbane,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight
278196,Hospitalisation,2015,January,Friday,17,Rear-end,Multi-Vehicle,153.039497,-27.5033775,South East Arterial Rd,,Greenslopes,Brisbane City,4120,Coorparoo,South Brisbane,Brisbane,SEQ South,Metropolitan,Greenslopes,Holland Park - Yeronga,Brisbane - South,Major cities,South Brisbane,Griffith,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Dawn/Dusk
278197,Hospitalisation,2015,January,Friday,8,Angle,Multi-Vehicle,153.09354,-27.541625,Lorinya St,Valentia St,Mansfield,Brisbane City,4122,Holland Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Mansfield (qld),Mt Gravatt,Brisbane - South,Major cities,Mansfield,Bonner,Locally-controlled,Intersection - Cross,Give way sign,0 - 50 km/h,Sealed - Dry,Clear,Daylight
278198,Medical treatment,2015,January,Friday,17,Rear-end,Multi-Vehicle,153.063885,-27.521339,Logan Rd,,Holland Park West,Brisbane City,4121,Holland Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Holland Park West,Holland Park - Yeronga,Brisbane - South,Major cities,Greenslopes,Bonner,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted
278199,Hospitalisation,2015,January,Friday,15,Angle,Multi-Vehicle,152.986535,-27.612949,Blunder Rd,Brookside St,Doolandella,Brisbane City,4077,Inala,South Brisbane,Brisbane,SEQ South,Metropolitan,Forest Lake - Doolandella,Forest Lake - Oxley,Ipswich,Major cities,Algester,Oxley,Locally-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight
278200,Medical treatment,2015,January,Friday,10,Angle,Multi-Vehicle,152.991403,-27.480783,Croydon St,Sylvan Rd,Toowong,Brisbane City,4066,Indooroopilly,North Brisbane,Brisbane,SEQ North,Metropolitan,Toowong,Brisbane Inner - West,Brisbane Inner City,Major cities,Mount Coot-tha,Ryan,Locally-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight
278201,Medical treatment,2015,January,Friday,15,Rear-end,Multi-Vehicle,152.990009,-27.478123,Milton Rd,,Toowong,Brisbane City,4066,Indooroopilly,North Brisbane,Brisbane,SEQ North,Metropolitan,Toowong,Brisbane Inner - West,Brisbane Inner City,Major cities,Mount Coot-tha,Ryan,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight
278202,Hospitalisation,2015,January,Friday,15,Angle,Multi-Vehicle,153.00625,-27.526551,Tennyson Memorial Ave,,Tennyson,Brisbane City,4105,Sherwood,South Brisbane,Brisbane,SEQ South,Metropolitan,Yeronga,Holland Park - Yeronga,Brisbane - South,Major cities,Yeerongpilly,Moreton,Locally-controlled,Intersection - T-Junction,Give way sign,60 km/h,Sealed - Dry,Clear,Daylight
278203,Medical treatment,2015,January,Friday,15,Angle,Multi-Vehicle,153.106292,-27.577651,Gateway Art Rd Ramp Ma,Miles Platting Rd,Rochedale,Brisbane City,4123,Upper Mount Gravatt,South Brisbane,Brisbane,SEQ South,Metropolitan,Rochedale - Burbank,Mt Gravatt,Brisbane - South,Major cities,Mansfield,Bonner,Locally-controlled,Intersection - Interchange,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight
278204,Medical treatment,2015,January,Friday,17,Angle,Multi-Vehicle,153.011392,-27.391236,Maundrell Tce,Rode Rd,Chermside West,Brisbane City,4032,Stafford,North Brisbane,Brisbane,SEQ North,Metropolitan,Chermside West,Chermside,Brisbane - North,Major cities,Stafford,Petrie,Locally-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight
278225,Medical treatment,2015,January,Saturday,21,Fall from vehicle,Single Vehicle,153.0480695,-27.59798352,Hellawell Rd,,Sunnybank Hills,Brisbane City,4109,Acacia Ridge,South Brisbane,Brisbane,SEQ South,Metropolitan,Sunnybank Hills,Sunnybank,Brisbane - South,Major cities,Sunnybank,Moreton,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted
278226,Medical treatment,2015,January,Saturday,21,Hit pedestrian,Hit pedestrian,153.008093,-27.467019,Granzella St,,Milton,Brisbane City,4064,Brisbane City,North Brisbane,Brisbane,SEQ North,Metropolitan,Paddington - Milton,Brisbane Inner - West,Brisbane Inner City,Major cities,Mount Coot-tha,Brisbane,Locally-controlled,No Roadway Feature,Road/Rail worker,0 - 50 km/h,Sealed - Dry,Clear,Darkness - Lighted
278227,Medical treatment,2015,January,Saturday,10,Rear-end,Multi-Vehicle,152.976035,-27.586578,Biota St,Rosemary St,Inala,Brisbane City,4077,Inala,South Brisbane,Brisbane,SEQ South,Metropolitan,Durack,Forest Lake - Oxley,Ipswich,Major cities,Inala,Oxley,Locally-controlled,Intersection - T-Junction,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight
278228,Hospitalisation,2015,January,Saturday,23,Rear-end,Multi-Vehicle,152.965482,-27.494037,Western Arterial Rd,,Indooroopilly,Brisbane City,4068,Indooroopilly,North Brisbane,Brisbane,SEQ North,Metropolitan,Indooroopilly,Sherwood - Indooroopilly,Brisbane - West,Major cities,Indooroopilly,Ryan,State-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Darkness - Lighted
278229,Medical treatment,2015,January,Saturday,14,Rear-end,Multi-Vehicle,153.04134,-27.497931,O'Keefe St,,Woolloongabba,Brisbane City,4102,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Woolloongabba,Holland Park - Yeronga,Brisbane - South,Major cities,South Brisbane,Griffith,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight
278232,Medical treatment,2015,January,Saturday,16,Angle,Multi-Vehicle,153.065529,-27.438971,Harbour Rd,Kingsford Smith Dr,Hamilton,Brisbane City,4007,Hendra,North Brisbane,Brisbane,SEQ North,Metropolitan,Hamilton (qld),Brisbane Inner - North,Brisbane Inner City,Major cities,Clayfield,Lilley,Locally-controlled,Intersection - T-Junction,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight
278251,Medical treatment,2015,January,Saturday,12,Angle,Multi-Vehicle,152.932228,-27.604085,Boundary Rd,Formation St,Wacol,Brisbane City,4076,Mount Ommaney,South Brisbane,Brisbane,SEQ South,Metropolitan,Wacol,Forest Lake - Oxley,Ipswich,Major cities,Inala,Oxley,Locally-controlled,Intersection - Roundabout,Give way sign,60 km/h,Sealed - Dry,Clear,Darkness - Lighted
278252,Medical treatment,2015,January,Sunday,15,Angle,Multi-Vehicle,152.988004,-27.43863,Frasers Rd,Western Arterial Rd,Ashgrove,Brisbane City,4060,The Gap,North Brisbane,Brisbane,SEQ North,Metropolitan,Ashgrove,Brisbane Inner - West,Brisbane Inner City,Major cities,Ashgrove,Brisbane,State-controlled,Intersection - T-Junction,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight
278253,Hospitalisation,2015,January,Sunday,16,Angle,Multi-Vehicle,153.0295579,-27.46494045,Adelaide St,Wharf St,Brisbane City,Brisbane City,4000,Brisbane City,North Brisbane,Brisbane,SEQ North,Metropolitan,Brisbane City,Brisbane Inner,Brisbane Inner City,Major cities,Brisbane Central,Brisbane,Locally-controlled,Intersection - Cross,Operating traffic lights,0 - 50 km/h,Sealed - Dry,Clear,Daylight
278254,Hospitalisation,2015,January,Sunday,7,Angle,Multi-Vehicle,153.041125,-27.501964,Cornwall St,Junction St,Greenslopes,Brisbane City,4120,Coorparoo,South Brisbane,Brisbane,SEQ South,Metropolitan,Greenslopes,Holland Park - Yeronga,Brisbane - South,Major cities,South Brisbane,Griffith,Locally-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight
278255,Hospitalisation,2015,January,Sunday,22,Angle,Multi-Vehicle,152.963356,-27.502525,Moggill Sub-Arterial Rd,Western Arterial Rd,Indooroopilly,Brisbane City,4068,Indooroopilly,North Brisbane,Brisbane,SEQ North,Metropolitan,Indooroopilly,Sherwood - Indooroopilly,Brisbane - West,Major cities,Indooroopilly,Ryan,State-controlled,Intersection - Interchange,Operating traffic lights,0 - 50 km/h,Sealed - Dry,Clear,Darkness - Lighted
278259,Hospitalisation,2015,January,Sunday,16,Angle,Multi-Vehicle,153.036642,-27.415399,East - West Arterial Rd,Kedron Park Rd,Kedron,Brisbane City,4031,Stafford,North Brisbane,Brisbane,SEQ North,Metropolitan,Wooloowin - Lutwyche,Brisbane Inner - North,Brisbane Inner City,Major cities,Clayfield,Lilley,State-controlled,Intersection - T-Junction,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight
278260,Minor injury,2015,January,Sunday,11,Angle,Multi-Vehicle,153.085325,-27.435098,Eagleview Pl,Fison Ave W,Eagle Farm,Brisbane City,4009,Hendra,North Brisbane,Brisbane,SEQ North,Metropolitan,Eagle Farm - Pinkenba,Nundah,Brisbane - North,Major cities,Clayfield,Lilley,State-controlled,Intersection - Interchange,Stop sign,60 km/h,Sealed - Dry,Clear,Daylight
278272,Hospitalisation,2015,January,Monday,7,Head-on,Multi-Vehicle,153.118735,-27.493889,Meadowlands Rd,,Carina,Brisbane City,4152,Carina,South Brisbane,Brisbane,SEQ South,Metropolitan,Carina,Carindale,Brisbane - South,Major cities,Bulimba,Bonner,Locally-controlled,No Roadway Feature,No traffic control,70 km/h,Sealed - Dry,Clear,Daylight
278273,Hospitalisation,2015,January,Monday,17,Angle,Multi-Vehicle,153.037964,-27.444978,Abbotsford Rd,,Bowen Hills,Brisbane City,4006,Fortitude Valley,North Brisbane,Brisbane,SEQ North,Metropolitan,Newstead - Bowen Hills,Brisbane Inner - North,Brisbane Inner City,Major cities,Brisbane Central,Brisbane,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight
278274,Hospitalisation,2015,January,Monday,5,Angle,Multi-Vehicle,152.959463,-27.591924,Archerfield Rd,Azalea St,Inala,Brisbane City,4077,Inala,South Brisbane,Brisbane,SEQ South,Metropolitan,Inala - Richlands,Forest Lake - Oxley,Ipswich,Major cities,Inala,Oxley,Locally-controlled,Intersection - Cross,Stop sign,60 km/h,Sealed - Dry,Clear,Dawn/Dusk
