Crash_Ref_Number,Crash_Severity,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Nature,Crash_Type,Crash_Longitude_GDA94,Crash_Latitude_GDA94,Crash_Street,Crash_Street_Intersecting,Loc_Suburb,Loc_Local_Government_Area,Loc_Post_Code,Loc_Police_Division,Loc_Police_District,Loc_Police_Region,Loc_Queensland_Transport_Region,Loc_Main_Roads_Region,Loc_ABS_Statistical_Area_2,Loc_ABS_Statistical_Area_3,Loc_ABS_Statistical_Area_4,Loc_ABS_Remoteness,Loc_State_Electorate,Loc_Federal_Electorate,Crash_Controlling_Authority,Crash_Roadway_Feature,Crash_Traffic_Control,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition
300758,Medical treatment,2016,November,Wednesday,16,Rear-end,Multi-Vehicle,153.0275073,-27.47848497,South East Arterial Rd,,Brisbane City,Brisbane City,4000,Brisbane City,North Brisbane,Brisbane,SEQ North,Metropolitan,Brisbane City,Brisbane Inner,Brisbane Inner City,Major cities,Brisbane Central,Brisbane,State-controlled,Bridge/Causeway,No traffic control,70 km/h,Sealed - Dry,Clear,Daylight
300759,Minor injury,2016,November,Wednesday,6,Rear-end,Multi-Vehicle,153.101244,-27.5181652,Pine Mountain Rd,,Mansfield,Brisbane City,4122,Holland Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Mansfield (qld),Mt Gravatt,Brisbane - South,Major cities,Mansfield,Bonner,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight
300760,Medical treatment,2016,November,Wednesday,17,Head-on,Multi-Vehicle,152.9805545,-27.47714788,Invalid Street From Police,,Mount Coot-tha,Brisbane City,4066,Indooroopilly,North Brisbane,Brisbane,SEQ North,Metropolitan,Mount Coot-tha,The Gap - Enoggera,Brisbane - West,Major cities,Mount Coot-tha,Ryan,State-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Daylight
300761,Hospitalisation,2016,November,Wednesday,16,Rear-end,Multi-Vehicle,153.03969,-27.542439,Toohey Rd,,Salisbury,Brisbane City,4107,Upper Mount Gravatt,South Brisbane,Brisbane,SEQ South,Metropolitan,Salisbury - Nathan,Nathan,Brisbane - South,Major cities,Yeerongpilly,Moreton,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight
300762,Fatal,2016,November,Wednesday,17,Rear-end,Multi-Vehicle,153.06431,-27.2837648,Brighton - Redcliffe Rd,,Brighton,Brisbane City,4017,Sandgate,North Brisbane,Brisbane,SEQ North,Metropolitan,Brighton (qld),Sandgate,Brisbane - North,Major cities,Sandgate,Lilley,State-controlled,Bridge/Causeway,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight
300763,Hospitalisation,2016,November,Wednesday,16,Angle,Multi-Vehicle,153.1865357,-27.45438889,Royal Esp,,Manly,Brisbane City,4179,Wynnum,South Brisbane,Brisbane,SEQ South,Metropolitan,Manly - Lota,Wynnum - Manly,Brisbane - East,Major cities,Lytton,Bonner,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Daylight
300764,Hospitalisation,2016,November,Wednesday,19,Hit object,Single Vehicle,153.1656333,-27.47759886,Greencamp Rd,,Wakerley,Brisbane City,4154,Wynnum,South Brisbane,Brisbane,SEQ South,Metropolitan,Wakerley,Wynnum - Manly,Brisbane - East,Major cities,Chatsworth,Bonner,Locally-controlled,Merge Lane,No traffic control,70 km/h,Sealed - Dry,Clear,Darkness - Lighted
300769,Medical treatment,2016,November,Wednesday,10,Fall from vehicle,Single Vehicle,152.997969,-27.424145,Railway St,Samford Rd,Alderley,Brisbane City,4051,Stafford,North Brisbane,Brisbane,SEQ North,Metropolitan,Alderley,Brisbane Inner - North,Brisbane Inner City,Major cities,Ashgrove,Brisbane,Locally-controlled,Intersection - T-Junction,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight
300791,Hospitalisation,2016,November,Thursday,20,Hit pedestrian,Hit pedestrian,153.080082,-27.493019,Ferguson Rd,Old Cleveland Rd,Camp Hill,Brisbane City,4152,Carina,South Brisbane,Brisbane,SEQ South,Metropolitan,Camp Hill,Carindale,Brisbane - South,Major cities,Chatsworth,Griffith,Locally-controlled,Intersection - T-Junction,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Darkness - Not lighted
300792,Medical treatment,2016,November,Thursday,15,Rear-end,Multi-Vehicle,153.0965451,-27.48934552,Stanley Rd,,Carina,Brisbane City,4152,Carina,South Brisbane,Brisbane,SEQ South,Metropolitan,Carina,Carindale,Brisbane - South,Major cities,Chatsworth,Griffith,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight
